"","Codigo_IBGE","Sigla_Estado","cidade","longitude","latitude","Data","Total_Exames","Total_positivos","Indice_Positividade"
"1076","4321808","RS","Três de Maio",-54.2357,-27.78,2020-03-11,1,0,0
"1077","4321907","RS","Três Passos",-53.9296,-27.4555,2020-03-11,3,0,0
"1078","4322004","RS","Triunfo",-51.7075,-29.9291,2020-03-11,5,0,0
"1079","4322301","RS","Tuparendi",-54.4814,-27.7598,2020-03-11,8,1,12.5
"1080","4322509","RS","Vacaria",-50.9418,-28.5079,2020-03-11,4,0,0
"1081","4323408","RS","Vila Maria",-52.1486,-28.5359,2020-03-11,3,0,0
"1082","5002704","MS","Campo Grande",-54.6295,-20.4486,2020-03-11,6,0,0
"1083","5003702","MS","Dourados",-54.812,-22.2231,2020-03-11,1484,283,19.0700808625337
"1084","5004700","MS","Ivinhema",-53.8184,-22.3046,2020-03-11,6,2,33.3333333333333
"1085","5008305","MS","Três Lagoas",-51.7007,-20.7849,2020-03-11,4,2,50
"1086","5100250","MT","Alta Floresta",-56.0867,-9.86674,2020-03-11,2,0,0
"1087","5101704","MT","Barra do Bugres",-57.1878,-15.0702,2020-03-11,7,0,0
"1088","5101803","MT","Barra do Garças",-52.264,-15.8804,2020-03-11,17,1,5.88235294117647
"1089","5102504","MT","Cáceres",-57.6818,-16.0764,2020-03-11,10,5,50
"1090","5102678","MT","Campo Verde",-55.1626,-15.545,2020-03-11,8,0,0
"1091","5103403","MT","Cuiabá",-56.0974,-15.601,2020-03-11,1676,671,40.035799522673
"1092","5104104","MT","Guarantã do Norte",-54.9121,-9.96218,2020-03-11,9,4,44.4444444444444
"1093","5105259","MT","Lucas do Rio Verde",-55.9042,-13.0588,2020-03-11,120,23,19.1666666666667
"1094","5106224","MT","Nova Mutum",-56.0743,-13.8374,2020-03-11,31,19,61.2903225806452
"1095","5107040","MT","Primavera do Leste",-54.2811,-15.544,2020-03-11,61,18,29.5081967213115
"1096","5107602","MT","Rondonópolis",-54.6372,-16.4673,2020-03-11,343,135,39.3586005830904
"1097","5107909","MT","Sinop",-55.5091,-11.8604,2020-03-11,110,47,42.7272727272727
"1098","5107925","MT","Sorriso",-55.7211,-12.5425,2020-03-11,11,4,36.3636363636364
"1099","5107958","MT","Tangará da Serra",-57.4933,-14.6229,2020-03-11,15,2,13.3333333333333
"1100","5108402","MT","Várzea Grande",-56.1322,-15.6458,2020-03-11,86,47,54.6511627906977
"1101","5201108","GO","Anápolis",-48.953,-16.3281,2020-03-11,137,1,0.72992700729927
"1102","5203203","GO","Barro Alto",-48.9086,-14.9658,2020-03-11,11,0,0
"1103","5205109","GO","Catalão",-47.944,-18.1656,2020-03-11,58,2,3.44827586206897
"1104","5205406","GO","Ceres",-49.6,-15.3061,2020-03-11,2,0,0
"1105","5208004","GO","Formosa",-47.337,-15.54,2020-03-11,70,7,10
"1106","5208608","GO","Goianésia",-49.1162,-15.3118,2020-03-11,86,17,19.7674418604651
"1107","5208707","GO","Goiânia",-49.2643,-16.6864,2020-03-11,12159,1973,16.2266633769224
"1108","5211503","GO","Itumbiara",-49.2158,-18.4093,2020-03-11,247,48,19.4331983805668
"1109","5211909","GO","Jataí",-51.7204,-17.8784,2020-03-11,18,3,16.6666666666667
"1110","5212204","GO","Jussara",-50.8668,-15.8659,2020-03-11,14,3,21.4285714285714
"1111","5212501","GO","Luziânia",-47.95,-16.253,2020-03-11,78,7,8.97435897435897
"1112","5213103","GO","Mineiros",-52.5537,-17.5654,2020-03-11,3,1,33.3333333333333
"1113","5213806","GO","Morrinhos",-49.1059,-17.7334,2020-03-11,34,8,23.5294117647059
"1114","5215231","GO","Novo Gama",-48.0417,-16.0592,2020-03-11,139,40,28.7769784172662
"1115","5215702","GO","Palmeiras de Goiás",-49.924,-16.8044,2020-03-11,12,0,0
"1116","5217401","GO","Pires do Rio",-48.2768,-17.3019,2020-03-11,7,2,28.5714285714286
"1117","5218508","GO","Quirinópolis",-50.4547,-18.4472,2020-03-11,17,4,23.5294117647059
"1118","5218805","GO","Rio Verde",-50.9192,-17.7923,2020-03-11,613,269,43.8825448613377
"1119","5221403","GO","Trindade",-49.4927,-16.6517,2020-03-11,38,3,7.89473684210526
"1120","5300108","DF","Brasília",-47.9297,-15.7795,2020-03-11,1434,389,27.1269177126918
